level_index,differential_level,group_index,sample_count,mean,std_dev,minimum,q01,q05,q25,median,q75,q95,q99,maximum
125,0.49019611,12,400,3.7791525141983583e-06,9.557744906198351e-08,3.5207688e-06,3.5719154266189434e-06,3.6345444073049293e-06,3.7119842772881384e-06,3.777307483687764e-06,3.8431359143942245e-06,3.929998479179631e-06,4.024815725642838e-06,4.1346166e-06
125,0.49019611,13,400,3.141442779792669e-06,7.592940241984168e-08,2.8504787e-06,2.962234184451518e-06,3.018525421794038e-06,3.0895978966327675e-06,3.14480394081329e-06,3.1923004257805587e-06,3.263389919538895e-06,3.3146433702313514e-06,3.3557021e-06
125,0.49019611,14,400,2.6041632594342444e-06,6.582435746208677e-08,2.4058465e-06,2.4494480180692336e-06,2.4955096819212486e-06,2.5590732661839866e-06,2.604351152513118e-06,2.648092902290955e-06,2.7089631998933324e-06,2.759023338967381e-06,2.8218283e-06
125,0.49019611,15,400,1.9366244282537083e-06,7.52006366495833e-08,1.7634252e-06,1.7823321775267687e-06,1.8220418610326305e-06,1.8804294654728437e-06,1.929838958858454e-06,1.993813611989026e-06,2.065042269805417e-06,2.098151132940984e-06,2.119323e-06
125,0.49019611,16,400,1.359403609058063e-06,3.5437125320269985e-08,1.2621646e-06,1.2768258000050991e-06,1.2988505773137149e-06,1.3353984797959129e-06,1.3585162150775432e-06,1.383409198751906e-06,1.415131697513061e-06,1.4416748706480575e-06,1.4644936e-06
126,0.49411768,1,400,5.493424300766491e-06,1.0354182624866621e-07,5.2065275e-06,5.267183505566208e-06,5.329492910277622e-06,5.421141509032168e-06,5.4922845720284386e-06,5.56277393570781e-06,5.667389655172883e-06,5.7187180073015045e-06,5.7876155e-06
126,0.49411768,2,400,5.747982253296869e-06,1.0937236153951527e-07,5.4338934e-06,5.477706731653598e-06,5.569391646531585e-06,5.676350838257349e-06,5.746980377807631e-06,5.820697538183595e-06,5.927969800723076e-06,5.977038904347865e-06,6.04341e-06
126,0.49411768,3,400,5.984422413121137e-06,1.1499774837629913e-07,5.662507e-06,5.7321977965330006e-06,5.791201988358807e-06,5.902374937249988e-06,5.983553819532972e-06,6.064210424483463e-06,6.163539569570275e-06,6.228026240933104e-06,6.331414e-06
126,0.49411768,4,400,6.071387927022442e-06,1.1161805552599597e-07,5.7488273e-06,5.779676316706173e-06,5.882901609766122e-06,5.999784775667649e-06,6.076041017877287e-06,6.1453987427739776e-06,6.259607721403881e-06,6.300818376985262e-06,6.417222e-06
126,0.49411768,5,400,6.0248311706345705e-06,1.2085244767861012e-07,5.6944946e-06,5.763039584962826e-06,5.821437207487179e-06,5.9472431530593894e-06,6.026489700161619e-06,6.1164755607023835e-06,6.209812090673949e-06,6.310525791377586e-06,6.395197e-06
